cle_interop,voie_nom,numero,suffixe,cad_parcelles,x,y,long,lat
87085_0035_00030,avenue Adrien Tarrade,30,,CY0081,1564508.28690000,5183616.48400000,1.25565421,45.83923712
87085_0035_00033,avenue Adrien Tarrade,33,,CZ0227,1564475.04150000,5183572.60300000,1.25523871,45.83883583
87085_0035_00034,avenue Adrien Tarrade,34,,CZ0281,1564459.50730000,5183582.05930000,1.25503612,45.83891783
87085_0035_00035,avenue Adrien Tarrade,35,,CZ0227,1564461.74210000,5183563.18960000,1.25507020,45.83874853
87085_0035_00036,avenue Adrien Tarrade,36,,CZ0097,1564445.30590000,5183571.93560000,1.25485620,45.83882396
87085_0035_00037,avenue Adrien Tarrade,37,,CZ0189,1564444.40440000,5183550.48760000,1.25485065,45.83863085
87085_0035_00037_bis,avenue Adrien Tarrade,37,bis,CZ0188,1564437.97270000,5183545.95930000,1.25476915,45.83858885
87085_0035_00039,avenue Adrien Tarrade,39,,CZ0108,1564428.35750000,5183539.65740000,1.25464718,45.83853026
87085_0035_00040,avenue Adrien Tarrade,40,,CZ0098,1564437.68580000,5183566.78180000,1.25475959,45.83877610
87085_0035_00041,avenue Adrien Tarrade,41,,CZ0214,1564417.46620000,5183531.42980000,1.25450933,45.83845410
87085_0035_00042,avenue Adrien Tarrade,42,,CZ0099,1564425.88420000,5183557.75850000,1.25461025,45.83869260
87085_0035_00043,avenue Adrien Tarrade,43,,CZ0213,1564404.51380000,5183522.17570000,1.25434525,45.83836830
87085_0035_00044,avenue Adrien Tarrade,44,,CZ0100,1564419.79010000,5183553.79670000,1.25453293,45.83865576
87085_0035_00045,avenue Adrien Tarrade,45,,CZ0086,1564378.38490000,5183504.18870000,1.25401405,45.83820135
87085_0035_00046,avenue Adrien Tarrade,46,,CZ0101,1564413.97520000,5183549.83660000,1.25445921,45.83861899
87085_0035_00048,avenue Adrien Tarrade,48,,CZ0102,1564408.89780000,5183546.42820000,1.25439483,45.83858733
87085_0035_00050,avenue Adrien Tarrade,50,,CZ0103,1564402.61080000,5183542.04740000,1.25431515,45.83854668
87085_0035_00052,avenue Adrien Tarrade,52,,CZ0104,1564396.20540000,5183537.51970000,1.25423399,45.83850469
87085_0035_00054,avenue Adrien Tarrade,54,,CZ0105,1564389.37460000,5183532.38330000,1.25414753,45.83845714
87085_0035_00056,avenue Adrien Tarrade,56,,CZ0087,1564380.14610000,5183525.92920000,1.25403058,45.83839726
87085_0035_00058,avenue Adrien Tarrade,58,,BN0019,1564355.72050000,5183509.25580000,1.25372093,45.83824246
87085_0035_00060,avenue Adrien Tarrade,60,,BN0019,1564345.32680000,5183501.68330000,1.25358930,45.83817229
87085_0095_00003,avenue Albert Thomas,3,,AZ0711,1563786.78010000,5183068.92660000,1.24652356,45.83416899
87085_0095_00005,avenue Albert Thomas,5,,AZ0732,1563779.27730000,5183074.90540000,1.24642531,45.83422129
87085_0095_00007,avenue Albert Thomas,7,,AZ0725,1563773.15860000,5183079.65050000,1.24634522,45.83426276
87085_0095_00008,avenue Albert Thomas,8,,BC0245,1563794.57150000,5183089.39070000,1.24661802,45.83435462
87085_0095_00009,avenue Albert Thomas,9,,AZ0724,1563766.60680000,5183085.29720000,1.24625931,45.83431226
87085_0095_00011,avenue Albert Thomas,11,,AZ0731,1563761.77880000,5183089.28590000,1.24619605,45.83434718
87085_0095_00013,avenue Albert Thomas,13,,AZ0773,1563754.99370000,5183095.10820000,1.24610708,45.83439821
87085_0095_00014,avenue Albert Thomas,14,,BC0285,1563766.04570000,5183112.76580000,1.24624430,45.83455924
87085_0095_00015,avenue Albert Thomas,15,,AZ0058,1563750.23310000,5183103.61070000,1.24604341,45.83447375
87085_0095_00017,avenue Albert Thomas,17,,AZ1083,1563726.77040000,5183117.82440000,1.24573744,45.83459696
87085_0095_00018,avenue Albert Thomas,18,,BC0260,1563749.85680000,5183126.77430000,1.24603200,45.83468205
87085_0095_00020,avenue Albert Thomas,20,,BC0257,1563744.81360000,5183130.37850000,1.24596608,45.83471347
87085_0095_00027,avenue Albert Thomas,27,,AZ0684,1563690.10490000,5183150.13540000,1.24525643,45.83488035
87085_0095_00028,avenue Albert Thomas,28,,BC0292,1563697.93950000,5183169.32090000,1.24535181,45.83505449
87085_0095_00030,avenue Albert Thomas,30,,BC0243,1563686.70600000,5183178.81380000,1.24520456,45.83513766
87085_0095_00032,avenue Albert Thomas,32,,BC0244,1563679.07480000,5183185.13620000,1.24510456,45.83519302
87085_0095_00034,avenue Albert Thomas,34,,BC0251,1563672.95940000,5183190.57560000,1.24502431,45.83524073
87085_0095_00047,avenue Albert Thomas,47,,AZ1057,1563585.08780000,5183237.04040000,1.24388030,45.83564129
87085_0095_00050,avenue Albert Thomas,50,,BC0240,1563572.44930000,5183276.60710000,1.24370642,45.83599470
87085_0095_00052,avenue Albert Thomas,52,,BC0060,1563562.26480000,5183288.39920000,1.24357201,45.83609876
87085_0095_00054,avenue Albert Thomas,54,,BC0059,1563552.27570000,5183298.66550000,1.24344054,45.83618913
87085_0095_00056,avenue Albert Thomas,56,,BC0290,1563544.08780000,5183307.46140000,1.24333267,45.83626663
87085_0095_00056_bis,avenue Albert Thomas,56,bis,BC0291,1563539.18360000,5183312.25190000,1.24326820,45.83630875
87085_0095_00058,avenue Albert Thomas,58,,BC0057,1563534.12010000,5183317.26180000,1.24320161,45.83635281
87085_0095_00060,avenue Albert Thomas,60,,BC0056,1563518.25550000,5183329.26140000,1.24299404,45.83645760
87085_0095_00066,avenue Albert Thomas,66,,BH0808,1563471.95990000,5183357.05130000,1.24239035,45.83669840
87085_0095_00068,avenue Albert Thomas,68,,BH0912,1563465.37070000,5183361.02490000,1.24230442,45.83673284
87085_0095_00070,avenue Albert Thomas,70,,BH0971,1563458.28610000,5183364.29510000,1.24221232,45.83676085
87085_0095_00072,avenue Albert Thomas,72,,BH0814,1563449.06760000,5183369.63470000,1.24209216,45.83680705
87085_0095_00074,avenue Albert Thomas,74,,BH0944,1563437.86920000,5183375.88530000,1.24194627,45.83686105
87085_0095_00075,avenue Albert Thomas,75,,AZ0699,1563439.94770000,5183350.70830000,1.24198017,45.83663498
87085_0095_00076,avenue Albert Thomas,76,,BH0766,1563429.36300000,5183380.49660000,1.24183549,45.83690084
87085_0095_00077,avenue Albert Thomas,77,,AZ0738,1563420.35230000,5183360.94700000,1.24172508,45.83672319
87085_0095_00078,avenue Albert Thomas,78,,BH0767,1563423.53860000,5183383.59370000,1.24175965,45.83692755
87085_0095_00079,avenue Albert Thomas,79,,AZ0736,1563407.15540000,5183368.30940000,1.24155315,45.83678680
87085_0095_00080,avenue Albert Thomas,80,,BH0952,1563417.21920000,5183386.93750000,1.24167737,45.83695637
87085_0095_00080_bis,avenue Albert Thomas,80,bis,BH0952,1563409.11230000,5183391.60620000,1.24157171,45.83699676
87085_0095_00081,avenue Albert Thomas,81,,AZ0740,1563396.22080000,5183374.10180000,1.24141078,45.83683674
87085_0095_00082,avenue Albert Thomas,82,,BH0816,1563402.73590000,5183395.61960000,1.24148851,45.83703159
87085_0095_00083,avenue Albert Thomas,83,,AZ0734,1563382.67860000,5183381.53610000,1.24123439,45.83690092
87085_0095_00084,avenue Albert Thomas,84,,BH0818,1563392.28740000,5183401.85410000,1.24135227,45.83708560
87085_0095_00085,avenue Albert Thomas,85,,AZ0778,1563372.36260000,5183388.32520000,1.24109970,45.83695994
87085_0095_00086,avenue Albert Thomas,86,,BH0740,1563382.34980000,5183408.15920000,1.24122259,45.83714035
87085_0095_00092,avenue Albert Thomas,92,,BH0778,1563353.58180000,5183431.04480000,1.24084585,45.83734050
87085_0095_00112,avenue Albert Thomas,112,,BH0778,1563273.42050000,5183494.47790000,1.23979617,45.83789518
87085_0095_00123,avenue Albert Thomas,123,,AY0231,1563220.98660000,5183493.51750000,1.23912163,45.83787611
87085_0095_00185,avenue Albert Thomas,185,,AY0229,1562864.56610000,5183667.25210000,1.23448504,45.83936796
87085_0415_00002,avenue Baudin,2,,DY0433,1564750.00510000,5182248.41940000,1.25915004,45.82697816
