cle_interop,voie_nom,numero,suffixe,cad_parcelles,x,y,long,lat
87085_0576_00007,allée Berthe Morisot,7,,KZ0100,1567965.80560000,5191921.31890000,1.29786869,45.91461695
87085_0576_00008,allée Berthe Morisot,8,,KZ0098,1567958.61930000,5191906.23190000,1.29778023,45.91447985
87085_0893_00001,allée Cavelier de La Salle,1,,NV0036,1560109.70330000,5183638.43890000,1.19903862,45.83855385
87085_0893_00002,allée Cavelier de La Salle,2,,NV0038,1560122.37210000,5183628.81890000,1.19920447,45.83846989
87085_0893_00003,allée Cavelier de La Salle,3,,NV0034,1560109.07080000,5183663.24460000,1.19902326,45.83877686
87085_0893_00004,allée Cavelier de La Salle,4,,NV0039,1560121.90430000,5183654.06090000,1.19919110,45.83869686
87085_0893_00005,allée Cavelier de La Salle,5,,NV0033,1560108.54990000,5183683.11740000,1.19901078,45.83895552
87085_0893_00006,allée Cavelier de La Salle,6,,NV0041,1560121.05840000,5183677.93610000,1.19917327,45.83891145
87085_0893_00007,allée Cavelier de La Salle,7,,NV0032,1560107.85240000,5183702.64170000,1.19899612,45.83913101
87085_0893_00009,allée Cavelier de La Salle,9,,NV0031,1560107.19740000,5183722.17560000,1.19898200,45.83930659
87085_0893_00011,allée Cavelier de La Salle,11,,NV0030,1560106.51800000,5183744.26190000,1.19896683,45.83950513
87085_0893_00015,allée Cavelier de La Salle,15,,NV0029,1560083.38440000,5183756.04350000,1.19866567,45.83960640
87085_0893_00017,allée Cavelier de La Salle,17,,NV0028,1560083.20700000,5183766.55000000,1.19866033,45.83970087
87085_0893_00019,allée Cavelier de La Salle,19,,NV0027,1560097.59740000,5183766.29610000,1.19884561,45.83970152
87085_0893_00021,allée Cavelier de La Salle,21,,NV0026,1560120.12830000,5183766.59990000,1.19913549,45.83970883
87085_0963_00001,allée Chanoine Fayaud,1,,RP0085,1561681.11390000,5184980.92700000,1.21887590,45.85094805
87085_0963_00002,allée Chanoine Fayaud,2,,RP0100,1561669.27310000,5184973.16240000,1.21872572,45.85087582
87085_0963_00003,allée Chanoine Fayaud,3,,RP0086,1561696.59620000,5184974.65100000,1.21907701,45.85089471
87085_0963_00004,allée Chanoine Fayaud,4,,RP0099,1561682.35770000,5184968.84480000,1.21889539,45.85083962
87085_0963_00005,allée Chanoine Fayaud,5,,RP0087,1561708.49970000,5184965.75530000,1.21923280,45.85081709
87085_0963_00006,allée Chanoine Fayaud,6,,RP0098,1561692.68540000,5184961.14240000,1.21903056,45.85077241
87085_0963_00007,allée Chanoine Fayaud,7,,RP0088,1561718.26530000,5184958.21920000,1.21936068,45.85075126
87085_0963_00008,allée Chanoine Fayaud,8,,RP0097,1561702.54320000,5184953.53480000,1.21915964,45.85070596
87085_0963_00009,allée Chanoine Fayaud,9,,RP0089,1561730.18820000,5184949.01890000,1.21951680,45.85067090
87085_0963_00010,allée Chanoine Fayaud,10,,RP0096,1561712.63350000,5184945.74760000,1.21929177,45.85063794
87085_0963_00011,allée Chanoine Fayaud,11,,RP0090,1561750.02960000,5184946.86090000,1.21977284,45.85065547
87085_0963_00012,allée Chanoine Fayaud,12,,RP0095,1561722.51360000,5184938.12260000,1.21942115,45.85057134
87085_0963_00014,allée Chanoine Fayaud,14,,RP0094,1561731.51460000,5184931.17680000,1.21953901,45.85051066
87085_0963_00015,allée Chanoine Fayaud,15,,RP0091,1561755.80610000,5184942.40360000,1.21984848,45.85061654
87085_0963_00016,allée Chanoine Fayaud,16,,RP0093,1561739.98350000,5184924.64170000,1.21964991,45.85045358
87085_0963_00018,allée Chanoine Fayaud,18,,RP0092,1561749.84520000,5184931.13920000,1.21977499,45.85051401
87085_0967_00001,allée Chantegrèle,1,,ET0241,1566110.78300000,5181862.79330000,1.27676696,45.82377545
87085_0967_00002,allée Chantegrèle,2,,ET0230,1566110.53470000,5181872.77230000,1.27676099,45.82386517
